Rank,Country Name,Population
1,Nigeria,"200,963,600"
2,Ethiopia,"112,078,730"
3,Egypt,"100,388,070"
4,Democratic Republic of the Congo,"86,790,570"
5,South Africa,"58,558,270"
6,Tanzania,"58,005,460"
7,Kenya,"52,573,970"
8,Uganda,"44,269,590"
9,Algeria,"43,053,050"
10,Sudan,"42,813,240"
11,Morocco,"36,471,769"
12,Angola,"31,825,290"
13,Ghana,"30,417,860"
14,Mozambique,"30,366,040"
15,Madagascar,"26,969,310"
16,Cameroon,"25,876,380"
17,Cote d'Ivoire,"25,716,540"
18,Niger,"23,310,720"
19,Burkina Faso,"20,321,380"
20,Mali,"19,658,030"
21,Malawi,"18,628,747"
22,Zambia,"17,861,030"
23,Senegal,"16,296,360"
24,Chad,"15,946,880"
25,Somalia,"15,442,910"
26,Zimbabwe,"14,645,470"
27,Guinea,"12,771,250"
28,Rwanda,"12,626,950"
29,Benin,"11,801,150"
30,Tunisia,"11,694,720"
31,Burundi,"11,530,580"
32,South Sudan,"11,062,110"
33,Togo,"8,082,370"
34,Sierra Leone,"7,813,220"
35,Libya,"6,777,450"
36,Congo,"5,380,510"
37,Liberia,"4,937,370"
38,Central African Republic,"4,745,190"
39,Mauritania,"4,525,700"
40,Eritrea,"3,213,970"
41,Namibia,"2,494,530"
42,The Gambia,"2,347,710"
43,Botswana,"2,303,700"
44,Gabon,"2,172,580"
45,Lesotho,"2,125,270"
46,Guinea-Bissau,"1,920,920"
47,Equatorial Guinea,"1,355,990"
48,Mauritius,"1,265,710"
49,Eswatini,"1,148,130"
50,Djibouti,"973,560"
51,Comoros,"850,890"
52,Cabo Verde,"549,930"
53,Sao Tome and Principe,"215,060"
54,Seychelles,"97,630"